subject,title,location,alternate_title,description,internal_notes,pre,format,access_restrictions,eres_display,record_status,Exceed
"	Anatomy ","	Big Picture : Gross Anatomy, The, 2nd ed.,	 McGraw-Hill,	2019", https://accessmedicine.mhmedical.com/book.aspx?bookid=2478 ,,,,,4,1,N,Active,
"	Anatomy ","	Big Picture : Gross Anatomy, The, 1st ed.,	 McGraw-Hill,	2011","	http://www.accessmedicine.com/resourceTOC.aspx?resourceID=686	",,,,,4,1,N,Active,
"	Anatomy ","	Brain Aging : Models, Methods, and Mechanisms,	 CRC Press, 2007","	https://www.ncbi.nlm.nih.gov/books/NBK1834	",,,,,4,1,N,Active,
"	Anatomy ","	Capillary Fluid Exchange : Regulation, Functions, and Pathology,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK53447	",,,,,4,1,N,Active,
"	Anatomy ","	Case Files : Anatomy, 3rd ed.,	 McGraw-Hill,	2015","	http://accessmedicine.mhmedical.com/cases.aspx?gbosContainerID=62#tab=1	",,,,,4,1,N,Active,
"	Anatomy ","	Cerebral Circulation, The,	 Morgan & Claypool Life Sciences, 2009","	https://www.ncbi.nlm.nih.gov/books/NBK53081	",,,,,4,1,N,Active,
"	Anatomy ","	Clinical Anatomy Cases: An Integrated Approach with Physical Examination and Medical Imaging, 1st ed.,	 Lippincott Williams & Wilkins,	2017", https://meded.lwwhealthlibrary.com/book.aspx?bookid=2993 ,,,,,4,1,N,Active,
"	Anatomy ","	Clinical Neuroanatomy, 28th ed.,	 McGraw-Hill, 2017","	http://accessmedicine.mhmedical.com/book.aspx?bookID=1969	",,,,,4,1,N,Active,
"	Anatomy ","	Clinical Neuroanatomy, 27th ed., 	 McGraw-Hill, 2013", http://accessmedicine.mhmedical.com/book.aspx?bookId=673 ,,,,,4,1,N,Active,
"	Anatomy ","	Clinical Neuroanatomy & Neuroscience, 6th ed.,	 Elsevier Health Science, 2012 (limited access) New edition with title change:", http://www.r2library.com/Resource/Title/0702037389 ,,,,,4,1,N,Active,
"	Anatomy ","	Fitzgerald's Clinical Neuroanatomy and Neuroscience, 8th ed.,	 Elsevier,	2021", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170014155 ,,,,,4,1,N,Active,
"	Anatomy ","	Moore’s Clinically Oriented Anatomy, 9th ed.,	 Wolters Kluwer,	2023", https://meded.lwwhealthlibrary.com/book.aspx?bookid=3187 ,,,,,4,1,N,Active,
"	Anatomy ","	Clinically Oriented Anatomy, 8th ed.,	 Lippincott Williams & Wilkins,	2018", https://meded.lwwhealthlibrary.com/book.aspx?bookid=2212 ,,,,,4,1,N,Active,
"	Anatomy ","	Color Atlas of Cytology, Histology, and Microscopic Anatomy, 4th ed., 	 Thieme, 2003","	http://ebooks.thieme.com/pdfreader/color-atlas-cytology-histology-microscopic-anatomy-4th-ed	",,,,,4,1,N,Active,
"	Anatomy ","	Color Atlas of Human Anatomy, Vol.1: Locomotor System, 7th ed., 	 Thieme, 2014", http://ebooks.thieme.com/product/color-atlas-human-anatomy-7e ,,,,,4,1,N,Active,
"	Anatomy ","	Color Atlas of Human Anatomy, Vol.2: Internal Organs, 6th ed., 	 Thieme, 2014", http://ebooks.thieme.com/product/color-atlas-human-anatomy-volume-2-6e ,,,,,4,1,N,Active,
"	Anatomy ","	Color Atlas of Human Anatomy, Vol.3: Nervous System and Sensory Organs, 7th ed., 	 Thieme, 2014", http://ebooks.thieme.com/product/color-atlas-human-anatomy-volume-3-7th-edition ,,,,,4,1,N,Active,
"	Anatomy ","	Control of Cardiac Output,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK54469	",,,,,4,1,N,Active,
"	Anatomy ","	Developmental Biology, 6th ed., 	 Sinauer, 2000","	https://www.ncbi.nlm.nih.gov/books/bv.fcgi?call=bv.View..ShowTOC&rid=dbio.TOC&depth=2	",,,,,4,1,N,Active,
"	Anatomy ","	Developing Human, The, 11th ed.,	 Elsevier,	2020", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170011084 ,,,,,4,1,N,Active,
"	Anatomy ","	Endothelium : Part 1 : Multiple Functions of the Endothelial Cells - Focus on Endothelium-Derived Vasoactive Mediators,	 Morgan & Claypool Life Sciences, 2011","	https://www.ncbi.nlm.nih.gov/books/NBK57149	",,,,,4,1,N,Active,
"	Anatomy ","	Endothelium : Part 2 : EDHF-Mediated Responses ""The Classical Pathway"",	 Morgan & Claypool Life Sciences Publisher, 2011","	https://www.ncbi.nlm.nih.gov/books/NBK57109	",,,,,4,1,N,Active,
"	Anatomy ","	Essentials of Anatomy and Physiology,	 F.A. Davis Company,	2015","	http://www.r2library.com/Resource/Title/0803639570	",,,,,4,1,N,Active,
"	Anatomy ","	Gastrointestinal Circulation,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK53092	",,,,,4,1,N,Active,
"	Anatomy ","	Grant's Atlas of Anatomy, 14th ed.,	 Wolters Kluwer,	2017", https://meded.lwwhealthlibrary.com/book.aspx?bookid=1737 ,,,,,4,1,N,Active,
"	Anatomy ","	Grant's Dissector, 16th ed.,	 Wolters Kluwer,	2017", https://meded.lwwhealthlibrary.com/book.aspx?bookid=1741 ,,,,,4,1,N,Active,
"	Anatomy ","	Gray's Anatomy, 42nd ed.,	 Elsevier,	2021", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170037291 ,,,,,4,1,N,Active,
"	Anatomy ","	Gray's Anatomy Review, 1st ed., 	 Elsevier, 2010","	http://www.R2Library.com/marc_frame.aspx?ResourceID=3396	",,,,,4,1,N,Active,
"	Anatomy ","	Gray's Anatomy for Students, 4th ed.,	 Elsevier,	2020","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150000041	",,,,,4,1,N,Active,
"	Anatomy ","	Gray's Atlas of Anatomy, 3rd ed.,	 Elsevier,	2021","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170039332	",,,,,4,1,N,Active,
"	Anatomy ","	Gray's Basic Anatomy, 3rd ed.,	 Elsevier,	2023","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20200021328	",,,,,4,1,N,Active,
"	Anatomy ","	Gray's Clinical Neuroanatomy: The Anatomic Basis for Clinical Neuroscience,	 Elsevier,	2011","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090373134	",,,,,4,1,N,Active,
"	Anatomy ","	Gray's Clinical Photographic Dissector of the Human Body, 2nd ed.,	 Elsevier,	2019", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160031698 ,,,,,4,1,N,Active,
"	Anatomy ","	Gray’s Surgical Anatomy, 1st ed.,	 Elsevier,	2020", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160023768 ,,,,,4,1,N,Active,
"	Anatomy ","	Gross Anatomy (Board Review Series), 8th ed.,	 Wolters Kluwer Health,	2015", http://brs.lwwhealthlibrary.com/book.aspx?bookid=2233 ,,,,,4,1,N,Active,
"	Anatomy ","	Hepatic Circulation : Physiology and Pathophysiology,	 Morgan & Claypool Life Sciences, 2009","	https://www.ncbi.nlm.nih.gov/books/NBK53073	",,,,,4,1,N,Active,
"	Anatomy ","	Hinman's Atlas of UroSurgical Anatomy,	 Elsevier,	2012","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090460239	",,,,,4,1,N,Active,
"	Anatomy ","	Histology Image Review, 	 Appleton & Lange, 1997","	http://www.accessmedicine.com/resourceTOC.aspx?resourceID=24	",,,,,4,1,N,Active,
"	Anatomy ","	Human Anatomy: Color Atlas and Textbook, 6th ed., Elsevier,	2017", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20130231123 ,,,,,4,1,N,Active,
"	Anatomy ","	Human Body, The, 	 Thieme, 2004","	http://www.thieme.com/SID2445565118618/ebooklibrary/flexibook/pubid1645023922/index.html	",,,,,4,1,N,Active,
"	Anatomy ","	Human Brain: An Introduction to Its Functional Anatomy, The,	 Elsevier,	2008","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-B9780323041317X50013	",,,,,4,1,N,Active,
"	Anatomy ","	Imaging Atlas of Human Anatomy,	 Elsevier,	2010","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090606061	",,,,,4,1,N,Active,
"	Anatomy ","	Induction and Segregation of the Vertebrate Cranial Placodes,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK53175	",,,,,4,1,N,Active,
"	Anatomy ","Junqueira's Basic Histology Text and Atlas, 16th ed.,	 McGraw Hill	2021", https://accessmedicine-mhmedical-com.access.library.miami.edu/book.aspx?bookid=3047 ,,,,,4,1,N,Active,
"	Anatomy ","	Abrahams’ and McMinn’s Clinical Atlas of Human Anatomy, 8th ed.,	 Elsevier,	2020","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160031704	",,,,,4,1,N,Active,
"	Anatomy ","	McMinn & Abrahams' Clinical Atlas of Human Anatomy, 7th ed.,	 Elsevier Health Science, 2013","	http://www.r2library.com/Resource/Title/0723436975	",,,,,4,1,N,Active,
"	Anatomy ","	McMinn's Color Atlas of Foot and Ankle Anatomy,	 Elsevier,	2011","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090484770	",,,,,4,1,N,Active,
"	Anatomy ","	McMinn's Color Atlas of Head and Neck Anatomy, 5th ed.,	 Elsevier,	2017","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150044938	",,,,,4,1,N,Active,
"	Anatomy ","	Multiscale Modeling of the Skeletal System,	 Cambridge University Press, 2012","	http://web.ebscohost.com/ehost/detail?sid=b386b84d-4c16-4422-aaa6-902ec47c6b6f%40sessionmgr111&vid=1&hid=124&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#db=nlebk&AN=409054	",,,,,4,1,N,Active,
"	Anatomy ","	Motor Function of the Pharynx, Esophagus, and its Sphincters,	 Morgan & Claypool Life Sciences, 2011","	https://www.ncbi.nlm.nih.gov/books/NBK53073	",,,,,4,1,N,Active,
"	Anatomy ","	Netter Atlas of Human Anatomy: Classic Regional Anatomy Approach, 8th ed.,	 Elsevier,	2022", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20180044345 ,,,,,4,1,N,Active,
"	Anatomy ","	Netter's Clinical Anatomy, 5th ed.,	 Elsevier,	2023","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20200019894	",,,,,4,1,N,Active,
"	Anatomy ","	Netter's Concise Orthopaedic Anatomy,	 Elsevier,	2009","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090357736	",,,,,4,1,N,Active,
"	Anatomy ","	Netter's Concise Radiologic Anatomy, 2nd ed.,	 Elsevier,	2019","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170047572	",,,,,4,1,N,Active,
"	Anatomy ","	Netter's Head and Neck Anatomy for Dentistry, 3rd ed.,	 Elsevier,	2017", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20140050307 ,,,,,4,1,N,Active,
"	Anatomy ","	Netter's Surgical Anatomy and Approaches, 2nd ed.,	 Elsevier,	2021","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C2018000448X	",,,,,4,1,N,Active,
"	Anatomy ","	Neuroanatomy: An Illustrated Colour Text,	 Elsevier,	2014","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20120032024	",,,,,4,1,N,Active,
"	Anatomy ","	Neuroanatomy for the Neuroscientist, 3rd ed., Springer, 2017", https://ebookcentral.proquest.com/lib/miami/detail.action?docID=5113863 ,,,,,4,1,N,Active,
"	Anatomy ","	Neuroanatomy for the Neuroscientist, 2nd ed., Springer, 2011", https://ebookcentral.proquest.com/lib/miami/detail.action?docID=883916 ,,,,,4,1,N,Active,
"	Anatomy ","	Neuroanatomy for the Neuroscientist, 1st ed., Springer, 2008", https://ebookcentral.proquest.com/lib/miami/detail.action?docID=372372 ,,,,,4,1,N,Active,
"	Anatomy ","	Platelet-Vessel Wall Interactions in Hemostasis and Thrombosis,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK53073	",,,,,4,1,N,Active,
"	Anatomy ","	Pocket Atlas of Human Anatomy, 5th ed., 	 Thieme, 2007","	http://www.thieme.com/SID2445569680509/ebooklibrary/flexibook/pubid1118743082/index.html	",,,,,4,1,N,Active,
"	Anatomy ","	Regulation of Vascular Smooth Muscle Function,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK115476	",,,,,4,1,N,Active,
"	Anatomy ","	Role of the Nucleus of the Solitary Tract in Gustatory Processing,	 CRC Press, 2007","	https://www.ncbi.nlm.nih.gov/books/NBK115481	",,,,,4,1,N,Active,
"	Anatomy ","	Sectional Anatomy by MRI and CT, 4th ed.,	 Elsevier,	2017", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090441710 ,,,,,4,1,N,Active,
"	Anatomy ","	Skeletal Muscle Circulation,	 Morgan & Claypool Life Sciences, 2011","	https://www.ncbi.nlm.nih.gov/books/NBK115522	",,,,,4,1,N,Active,
"	Anatomy ","	Smith's Recognizable Patterns of Human Deformation, 4th ed.,	 Elsevier,	2016", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20130006949 ,,,,,4,1,N,Active,
"	Anatomy ","	Smith's Recognizable Patterns of Human Malformation, 7th ed.,	 Elsevier,	2013","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20100662808	",,,,,4,1,N,Active,
"	Anatomy ","	Sobotta Atlas of Human Anatomy, Vol. 1, 16th ed.,	 Elsevier,	2017","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170020037	",,,,,4,1,N,Active,
"	Anatomy ","	Sobotta Atlas of Human Anatomy, Vol. 2,	16th ed.,  Elsevier,	2017","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170020062	",,,,,4,1,N,Active,
"	Anatomy ","	Sobotta Atlas of Human Anatomy, Vol. 3, 16th ed.,	 Elsevier,	2017","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C2018001779X	",,,,,4,1,N,Active,
"	Anatomy ","	Sobotta Tables of Muscles, Joints and Nerves, 2nd ed.,	 Elsevier,	2017","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20190041064	",,,,,4,1,N,Active,
"	Anatomy ","	Textbook of Histology, 5th ed.,	 Elsevier,	2021", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C2018001333X ,,,,,4,1,N,Active,
"	Anatomy ","	Transcriptional Control of Neural Crest Development.	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK2025	",,,,,4,1,N,Active,
"	Anatomy ","	Vascular Biology of the Placenta,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK2617	",,,,,4,1,N,Active,
"	Anatomy ","	Weir & Abrahams’ Imaging Atlas of Human Anatomy, 6th ed.,	 Elsevier,	2021", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20180014735 ,,,,,4,1,N,Active,
"	Anesthesiology	","	2023-2024 Perianesthesia Nursing Standards, Practice Recommendations and Interpretive Statements, 2nd ed.,  American Society of PeriAnesthesia Nurses, 2023", https://www.r2library.com/Resource/Title/0017688418 ,,,,,4,1,N,Active,
"	Anesthesiology	","	2021-2022 Perianesthesia Nursing Standards, Practice Recommendations and Interpretive Statements, 1st ed.,  American Society of PeriAnesthesia Nurses, 2020", https://www.r2library.com/Resource/Title/0017688396 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Anaesthesia, Intensive Care and Perioperative Medicine A-Z, 6th ed.,	 Elsevier,	2019", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150060464 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesia: A Comprehensive Review, 5th ed.,	 Elsevier,	2015", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20120027780 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesia for Congenital Heart Disease, 3rd ed.,	 Wiley-Blackwell, 2015", http://www.r2library.com/Resource/Title/1118768256 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesia Equipment, 3rd ed.,	 Elsevier,	2021","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170040594	",,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesia Secrets, 6th ed.,	 Elsevier,	2021","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C2017000647X	",,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesia and Uncommon Diseases,	 Elsevier,	2012", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090467667 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesiologist's Manual of Surgical Procedures, 6th ed.,	 Lippincott Williams & Wilkins,	2020", http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=booktext&D=books&AN=02163061$&XPATH=/PG(0)&EPUB=Y ,,,,,4,1,N,Active,
"	Anesthesiology	","	Anesthesiologist's Manual of Surgical Procedures, 5th ed.,	 Lippincott Williams & Wilkins,	2014", http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=booktext&D=books&AN=01787245$&XPATH=/PG(0)&EPUB=Y ,,,,,4,1,N,Active,
"	Anesthesiology	","	Atlas of Peripheral Regional Anesthesia	3rd ed.,	 Thieme,	2015","		http://dx.doi.org/10.1055/b-003-121459	",,,,,4,1,N,Active,
"	Anesthesiology	","	Atlas of Ultrasound-Guided Regional Anesthesia, 3rd ed.,	 Elsevier,	2019"," https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150054028	",,,,,4,1,N,Active,
"	Anesthesiology	","	Basics of Anesthesia, 7th ed.,	 Elsevier,	2018", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20140048964 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Brochert's Crush Step 3, 4th ed.,	 Elsevier,	2013 (unlimited access)","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090629871	",,,,,4,1,N,Active,
"	Anesthesiology	","	Brochert's Crush Step 3, 4th ed., 	 Elsevier Health Sciences, 2013","	http://www.r2library.com/Resource/Title/1455703109	",,,,,4,1,N,Active,
"	Anesthesiology	","	Brown's Atlas of Regional Anesthesia, 6th ed.,	 Elsevier,	2021", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20180014644 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Case Files : Anesthesiology, 1st ed.,	 McGraw-Hill,	2011", http://accessmedicine.mhmedical.com/cases.aspx?gbosContainerID=69#tab=1 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Chestnut's Obstetric Anesthesia: Principles and Practice, 6th ed.,	 Elsevier,	2020","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160024920	",,,,,4,1,N,Active,
"	Anesthesiology	","	Clinical Anesthesia, 8th ed., 	 Lippincott Williams & Wilkins, 2017", http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=booktext&D=books&AN=01979435$&XPATH=/PG(0)&EPUB=Y ,,,,,4,1,N,Active,
"	Anesthesiology	","	Clinical Anesthesia, 7th ed., 	 Lippincott Williams & Wilkins, 2013", http://www.r2library.com/Resource/Title/1451144199 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Clinical Anesthesia, 6th ed., 	 Lippincott Williams & Wilkins, 2009","	http://www.R2Library.com/marc_frame.aspx?ResourceID=1541	",,,,,4,1,N,Active,
"	Anesthesiology	","	Clinical Anesthesiology, 4th ed.,	 McGraw-Hill,	2005", http://www.accessmedicine.com/resourceTOC.aspx?resourceID=53 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Clinical Cases in Anesthesia,	 Elsevier,	2013", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20100685841 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Cohen’s Comprehensive Thoracic Anesthesia, 1st ed.,	 Elsevier, 2022", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20190000866 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Competency-Based Orientation Program for the Registered Nurse in the Perianesthesia Setting, A, 2019 Edition, 	 American Society of PeriAnesthesia Nurses, 2019", https://www.r2library.com/Resource/Title/0017688361 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Complications in Anesthesia, 3rd ed.,	 Elsevier,	2018", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20100685865 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Complications in Neuroanesthesia, 1st ed.,	 Elsevier,	2016", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150008115 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Cottrell and Young's Neuroanesthesia, 6th ed.,	 Elsevier,	2017", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20130051870 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Crisis Management in Anesthesiology,	 Elsevier,	2015", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090448888 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Essence of Anesthesia Practice, 4th ed.,	 Elsevier,	2018", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20130006706 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Essentials of Cardiac Anesthesia,	 Elsevier,	2008", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-B9781416037866X00356 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Essentials of Equipment in Anaesthesia, Critical Care and Peri-Operative Medicine, 5th ed.,	 Elsevier,	2019"," https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150066898	",,,,,4,1,N,Active,
"	Anesthesiology	","	Essentials of Neuroanesthesia, 1st ed.,	 Elsevier,	2017"," https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150043544	",,,,,4,1,N,Active,
"	Anesthesiology	","	Essentials of Trauma Anesthesia, Cambridge University Press, 2018", https://www.cambridge.org/core/books/essentials-of-trauma-anesthesia/690754BC0B126DAABD24501AD9AAF054 ,,,,,4,1,N,Active,
"	Anesthesiology	","	Evidence-Based Practice of Anesthesiology, 4th ed.,	 Elsevier,	2023","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20150021748	",,,,,4,1,N,Active,
"	Anesthesiology	","	Evidence-based Practice of Anesthesiology, 3rd ed., 	 Elsevier Health Sciences, 2013 (limited access)","	http://www.r2library.com/Resource/Title/1455727687	",,,,,4,1,N,Active,
"	Anesthesiology	","	First Aid for Anesthesiology Boards, 	 McGraw-Hill, 2011","	http://www.mhebooklibrary.com/product/first-aid-for-anesthesiology-boards	",,,,,4,1,N,Active,
"	Anesthesiology	","	Global Textbook of Anesthesiology, 	 GASNet (Yale).,", http://anestit.unipa.it/HomePage.html ,,,,,4,1,N,Active,
"	Anesthesiology	","	Handbook of Clinical Anesthesia, 7th ed., 	 Lippincott Williams & Wilkins, 2013", http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=booktext&D=books2&AN=01735166/7th_Edition/3&XPATH=/OVIDBOOK%5b1%5d/METADATA%5b1%5d/TBY%5b1%5d/EDITORS%5b1%5d ,,,,,4,1,N,Active,
